,before,after
75635,THAT,that
75636,ANOTHER,anoth
75637,ACFT,acft
75638,CAME,came
75639,UP,UP
75640,ALONGSIDE,alongsid
75641,TOO,too
75642,CLOSE,close
75643,IN,IN
75644,OBSERVING,observ
75645,HIS,hi
75646,ACFT,acft
75647,IDENT,ident
75648,N,N
75649,NUMBER,number
75650,.,.
75651,I,I
75652,WAS,wa
75653,RETURNING,return
75654,S,S
75655,DOWN,down
75656,THE,the
75657,FARMINGTON,farmington
75658,RIVER,river
75659,VALLEY,valley
75660,AT,AT
75661,1800,1800
75662,FT,FT
75663,(,(
75664,BELOW,below
75665,BDL,bdl
75666,CLASS,class
75667,'C,'C
75668,','
75669,AIRSPACE,airspac
75670,),)
75671,;,;
75672,8.5,8.5
75673,MI,MI
75674,W,W
75675,OF,OF
75676,BDL,bdl
75677,;,;
75678,BY,BY
75679,DME,dme
75680,;,;
75681,GPS,gp
75682,.,.
75683,I,I
75684,WATCHED,watch
75685,A,A
75686,CESSNA,cessna
75687,310,310
75688,APCH,apch
75689,MY,MY
75690,PORT-REAR,port-rear
75691,QUARTER,quarter
75692,.,.
75693,THEY,they
75694,CAME,came
75695,FROM,from
75696,BDL,bdl
75697,CTLED,ctled
75698,SPACE,space
75699,AT,AT
75700,90,90
75701,DEGS,deg
75702,;,;
75703,THEN,then
75704,FLEW,flew
75705,ADJACENT,adjac
75706,IN,IN
75707,FORMATION,format
75708,;,;
75709,GETTING,get
75710,CLOSER,closer
75711,AND,and
75712,CLOSER,closer
75713,OBVIOUSLY,obvious
75714,LOOKING,look
75715,ME,ME
75716,OVER,over
75717,.,.
75718,FINALLY,final
75719,;,;
75720,I,I
75721,DOVE,dove
75722,DOWN,down
75723,TO,TO
75724,AVOID,avoid
75725,A,A
75726,COLLISION,collis
75727,.,.
75728,I,I
75729,FELT,felt
75730,BDL,bdl
75731,VECTORED,vector
75732,THIS,thi
75733,PLANE,plane
75734,TO,TO
75735,ME,ME
75736,AS,AS
75737,IT,IT
75738,APCHED,apch
75739,FROM,from
75740,THEIR,their
75741,AREA,area
75742,;,;
75743,THEN,then
75744,RETURNED,return
75745,.,.
75746,ADDITIONALLY,addit
75747,;,;
75748,WHEN,when
75749,I,I
75750,LANDED,land
75751,AT,AT
75752,HARTFORD,hartford
75753,;,;
75754,THE,the
75755,TWR,twr
75756,OPERATOR,oper
75757,INFORMED,inform
75758,ME,ME
75759,THAT,that
75760,BRADLEY,bradley
75761,HAS,ha
75762,TRACKED,track
75763,ME,ME
75764,FROM,from
75765,NW,NW
75766,AND,and
75767,I,I
75768,WAS,wa
75769,FLYING,fli
75770,'ERRATICALLY,'errat
75771,.,.
75772,','
75773,SINCE,sinc
75774,I,I
75775,HAD,had
75776,A,A
75777,TV,TV
75778,CAMERA,camera
75779,MAN,man
75780,AS,AS
75781,A,A
75782,WITNESS,wit
75783,;,;
75784,I,I
75785,VOLUNTARILY,voluntarili
75786,CALLED,call
75787,BDL,bdl
75788,TWR,twr
75789,AND,and
75790,EXPLAINED,explain
75791,THAT,that
75792,I,I
75793,FLEW,flew
75794,STRAIGHT,straight
75795,UP,UP
75796,THE,the
75797,FARMINGTON,farmington
75798,VALLEY,valley
75799,;,;
75800,MADE,made
75801,1,1
75802,CIRCLE,circl
75803,18,18
75804,MI,MI
75805,NW,NW
75806,OF,OF
75807,BDL,bdl
75808,;,;
75809,THEN,then
75810,STRAIGHT,straight
75811,S,S
75812,BACK,back
75813,TO,TO
75814,HFD,hfd
75815,.,.
75816,THE,the
75817,NEAREST,nearest
75818,I,I
75819,WAS,wa
75820,TO,TO
75821,BDL,bdl
75822,WAS,wa
75823,8.5,8.5
75824,MI,MI
75825,BUT,but
75826,WAS,wa
75827,BELOW,below
75828,THEIR,their
75829,AIRSPACE,airspac
75830,.,.
75831,WHEN,when
75832,THEY,they
75833,HEARD,heard
75834,I,I
75835,HAD,had
75836,A,A
75837,WITNESS,wit
75838,THEY,they
75839,DENIED,deni
75840,ANY,ani
75841,KNOWLEDGE,knowledg
75842,OF,OF
75843,PROB,prob
75844,!,!
75845,THE,the
75846,NEXT,next
75847,DAY,day
75848,I,I
75849,HAD,had
75850,MY,MY
75851,ALT,alt
75852,ENCODING,encod
75853,SYS,sy
75854,RECERTIFIED,recertifi
75855,.,.
75856,IT,IT
75857,NOT,not
75858,ONLY,onli
75859,PASSED,pass
75860,REQUIREMENTS,requir
75861,;,;
75862,BUT,but
75863,THE,the
75864,AVIONICS,avion
75865,SHOP,shop
75866,STATED,state
75867,IT,IT
75868,WAS,wa
75869,FINE,fine
75870,BEFORE,befor
75871,RECERTIFICATION,recertif
75872,.,.
75873,I,I
75874,FEEL,feel
75875,;,;
75876,BECAUSE,becaus
75877,I,I
75878,WAS,wa
75879,NEAR,near
75880,BUT,but
75881,BELOW,below
75882,BDL,bdl
75883,AIRSPACE,airspac
75884,;,;
75885,THEY,they
75886,REQUESTED,request
75887,THE,the
75888,CESSNA,cessna
75889,310,310
75890,TO,TO
75891,CHK,chk
75892,ME,ME
75893,OUT,out
75894,.,.
75895,BECAUSE,becaus
75896,MY,MY
75897,ACFT,acft
75898,HAS,ha
75899,SMALL,small
75900,NUMBERS,number
75901,THE,the
75902,OVERZEALOUS,overzeal
75903,310,310
75904,PLT,plt
75905,FLEW,flew
75906,TOO,too
75907,CLOSE,close
75908,TO,TO
75909,ME,ME
75910,.,.
75911,WHEN,when
75912,CONFRONTED,confront
75913,;,;
75914,BDL,bdl
75915,DENIED,deni
75916,ANY,ani
75917,PROB,prob
75918,WHEN,when
75919,I,I
75920,TOLD,told
75921,THEM,them
75922,I,I
75923,HAD,had
75924,A,A
75925,VIABLE,viabl
75926,WITNESS,wit
75927,.,.
75928,FLC,flc
75929,OF,OF
75930,AN,AN
75931,MLG,mlg
75932,STOPPED,stop
75933,CLBING,clbing
75934,AND,and
75935,DSNDED,dsnded
75936,IN,IN
75937,RESPONSE,respons
75938,TO,TO
75939,A,A
75940,TCASII,tcasii
75941,RA,RA
75942,.,.
75943,CLBING,clbing
75944,OUT,out
75945,OF,OF
75946,ABOUT,about
75947,11000,11000
75948,FT,FT
75949,.,.
75950,I,I
75951,WENT,went
75952,OFF,off
75953,RADIO,radio
75954,TO,TO
75955,TALK,talk
75956,TO,TO
75957,BDL,bdl
75958,STATION,station
75959,AT,AT
75960,THEIR,their
75961,REQUEST,request
75962,.,.
75963,AFTER,after
75964,I,I
75965,WENT,went
75966,OFF,off
75967,FREQ,freq
75968,;,;
75969,ATC,atc
75970,GAVE,gave
75971,US,US
75972,A,A
75973,SHORT,short
75974,CUT,cut
75975,DIRECT,direct
75976,ALBANY,albani
75977,VOR,vor
75978,.,.
75979,ALSO,also
75980,ABOUT,about
75981,THAT,that
75982,TIME,time
75983,THEY,they
75984,ISSUED,issu
75985,VFR,vfr
75986,TFC,tfc
75987,AT,AT
75988,17500,17500
75989,FT,FT
75990,.,.
75991,RIGHT,right
75992,AFTER,after
75993,THIS,thi
75994,;,;
75995,FLT,flt
75996,ATTENDANT,attend
75997,CAME,came
75998,UP,UP
75999,WITH,with
76000,CREW,crew
76001,MEAL,meal
76002,.,.
76003,A,A
76004,LOT,lot
76005,GOING,go
76006,ON,ON
76007,AT,AT
76008,ONE,one
76009,TIME,time
76010,SO,SO
76011,COPLT,coplt
76012,DID,did
76013,NOT,not
76014,RECOGNIZE,recogn
76015,THAT,that
76016,VFR,vfr
76017,TFC,tfc
76018,COULD,could
76019,POSSIBLY,possibl
76020,BE,BE
76021,A,A
76022,CONFLICT,conflict
76023,.,.
76024,WHEN,when
76025,I,I
76026,CAME,came
76027,BACK,back
76028,ON,ON
76029,RADIO,radio
76030,FREQ,freq
76031,WE,WE
76032,RECEIVED,receiv
76033,A,A
76034,TA,TA
76035,.,.
76036,WE,WE
76037,WERE,were
76038,CLBING,clbing
76039,OUT,out
76040,OF,OF
76041,ABOUT,about
76042,16000,16000
76043,FT.,ft.
76044,TFC,tfc
76045,WAS,wa
76046,AT,AT
76047,EDGE,edg
76048,OF,OF
76049,TCASII,tcasii
76050,SCOPE,scope
76051,AND,and
76052,DID,did
76053,NOT,not
76054,SHOW,show
76055,ALT,alt
76056,.,.
76057,SOON,soon
76058,AFTER,after
76059,WE,WE
76060,COULD,could
76061,SEE,see
76062,TFC,tfc
76063,ON,ON
76064,OUR,our
76065,SCOPE,scope
76066,AT,AT
76067,ABOUT,about
76068,17500,17500
76069,FT.,ft.
76070,WE,WE
76071,IMMEDIATELY,immedi
76072,RECEIVED,receiv
76073,AN,AN
76074,RA,RA
76075,TO,TO
76076,DSND,dsnd
76077,.,.
76078,WE,WE
76079,COMPLIED,compli
76080,AND,and
76081,STOPPED,stop
76082,OUR,our
76083,CLB,clb
76084,AND,and
76085,BEGAN,began
76086,A,A
76087,DSCNT,dscnt
76088,AT,AT
76089,ABOUT,about
76090,17700,17700
76091,FT.,ft.
76092,BECAUSE,becaus
76093,OF,OF
76094,OUR,our
76095,DSCNT,dscnt
76096,THERE,there
76097,WAS,wa
76098,NO,NO
76099,CONFLICT,conflict
76100,;,;
76101,AND,and
76102,THE,the
76103,VERT,vert
76104,SEPARATION,separ
76105,WAS,wa
76106,AT,AT
76107,LEAST,least
76108,1500,1500
76109,FT.,ft.
76110,WE,WE
76111,NEVER,never
76112,SPOTTED,spot
76113,THE,the
76114,TFC,tfc
76115,VISUALLY,visual
76116,.,.
76117,THE,the
76118,ONLY,onli
76119,RECOMMENDATION,recommend
76120,I,I
76121,WOULD,would
76122,MAKE,make
76123,TO,TO
76124,PREVENT,prevent
76125,THIS,thi
76126,TYPE,type
76127,OF,OF
76128,OCCURRENCE,occurr
76129,FROM,from
76130,HAPPENING,happen
76131,AGAIN,again
76132,WOULD,would
76133,BE,BE
76134,TO,TO
76135,HAVE,have
76136,ATC,atc
76137,;,;
76138,WHEN,when
76139,THEY,they
76140,ISSUE,issu
76141,TFC,tfc
76142,THAT,that
76143,THEY,they
76144,THINK,think
76145,COULD,could
76146,BE,BE
76147,A,A
76148,CONFLICT,conflict
76149,;,;
76150,TO,TO
76151,TRY,tri
76152,TO,TO
76153,MAKE,make
76154,SURE,sure
76155,THE,the
76156,CREW,crew
76157,REALIZES,realiz
76158,THIS,thi
76159,.,.
76160,CAPT,capt
76161,OF,OF
76162,LTT,ltt
76163,COMMUTER,commut
76164,ACFT,acft
76165,MADE,made
76166,A,A
76167,270,270
76168,DEG,deg
76169,TURN,turn
76170,IN,IN
76171,ORDER,order
76172,TO,TO
76173,PROVIDE,provid
76174,SPACING,space
76175,WITH,with
76176,ANOTHER,anoth
76177,ACFT,acft
76178,ON,ON
76179,FINAL,final
76180,.,.
76181,OUR,our
76182,ACFT,acft
76183,AND,and
76184,A,A
76185,PIPER,piper
76186,AEROSTAR,aerostar
76187,WERE,were
76188,ON,ON
76189,VISUAL,visual
76190,APCHS,apch
76191,TO,TO
76192,MVY,mvi
76193,.,.
76194,BOTH,both
76195,ACFT,acft
76196,WERE,were
76197,ROUGHLY,roughli
76198,AN,AN
76199,EQUAL,equal
76200,DISTANCE,distanc
76201,FROM,from
76202,THE,the
76203,RWY,rwi
76204,.,.
76205,THE,the
76206,CAPT,capt
76207,OF,OF
76208,THIS,thi
76209,ACFT,acft
76210,DECIDED,decid
76211,TO,TO
76212,ASK,ask
76213,TO,TO
76214,BE,BE
76215,#,#
76216,1,1
76217,FOR,for
76218,THE,the
76219,APCH,apch
76220,;,;
76221,GIVEN,given
76222,OUR,our
76223,HIGHER,higher
76224,AIRSPD,airspd
76225,;,;
76226,AND,and
76227,THE,the
76228,TWR,twr
76229,AGREED,agre
76230,;,;
76231,INSTRUCTING,instruct
76232,THE,the
76233,AEROSTAR,aerostar
76234,TO,TO
76235,FOLLOW,follow
76236,US,US
76237,IN,IN
76238,.,.
76239,THE,the
76240,PLT,plt
76241,OF,OF
76242,THE,the
76243,AEROSTAR,aerostar
76244,OBJECTED,object
76245,;,;
76246,CLAIMING,claim
76247,TO,TO
76248,BE,BE
76249,MUCH,much
76250,CLOSER,closer
76251,;,;
76252,BUT,but
76253,THE,the
76254,TWR,twr
76255,REPEATED,repeat
76256,INSTRUCTIONS,instruct
76257,TO,TO
76258,FOLLOW,follow
76259,US,US
76260,IN,IN
76261,.,.
76262,AS,AS
76263,WE,WE
76264,WERE,were
76265,PREPARING,prepar
76266,TO,TO
76267,TURN,turn
76268,FINAL,final
76269,;,;
76270,THE,the
76271,AEROSTAR,aerostar
76272,HAD,had
76273,NOT,not
76274,MANEUVERED,maneuv
76275,TO,TO
76276,FOLLOW,follow
76277,US,US
76278,;,;
76279,AND,and
76280,AS,AS
76281,A,A
76282,RESULT,result
76283,WE,WE
76284,MADE,made
76285,A,A
76286,L,L
76287,270,270
76288,DEG,deg
76289,AND,and
76290,FOLLOWED,follow
76291,THE,the
76292,AEROSTAR,aerostar
76293,TO,TO
76294,LAND,land
76295,.,.
76296,THE,the
76297,AEROSTAR,aerostar
76298,WAS,wa
76299,IN,IN
76300,SIGHT,sight
76301,AT,AT
76302,ALL,all
76303,TIMES,time
76304,AND,and
76305,A,A
76306,COLLISION,collis
76307,WAS,wa
76308,NEVER,never
76309,A,A
76310,POSSIBILITY,possibl
76311,.,.
76312,NMAC,nmac
76313,BTWN,btwn
76314,A,A
76315,MLG,mlg
76316,ON,ON
76317,LONG,long
76318,FINAL,final
76319,AND,and
76320,VFR,vfr
76321,TFC,tfc
76322,XING,xing
76323,500,500
76324,FT,FT
76325,BELOW,below
76326,.,.
76327,WHILE,while
76328,ESTABLISHED,establish
76329,ON,ON
76330,THE,the
76331,LOC,loc
76332,FOR,for
76333,RWY,rwi
76334,4R,4R
76335,IN,IN
76336,BOSTON,boston
76337,WE,WE
76338,WERE,were
76339,TOLD,told
76340,TO,TO
76341,STOP,stop
76342,DSCNT,dscnt
76343,AND,and
76344,LEVEL,level
76345,AT,AT
76346,7000,7000
76347,FT,FT
76348,FOR,for
76349,A,A
76350,VFR,vfr
76351,ACFT,acft
76352,UNDER,under
76353,IFR,ifr
76354,CTL,ctl
76355,TO,TO
76356,CROSS,cross
76357,BELOW,below
76358,US,US
76359,.,.
76360,CTLR,ctlr
76361,CALLED,call
76362,OUT,out
76363,THE,the
76364,TFC,tfc
76365,WHICH,which
76366,WE,WE
76367,HAD,had
76368,VISUALLY,visual
76369,AND,and
76370,WERE,were
76371,TOLD,told
76372,HE,HE
76373,HAD,had
76374,US,US
76375,VISUALLY,visual
76376,.,.
76377,TCASII,tcasii
76378,STILL,still
76379,GAVE,gave
76380,A,A
76381,RA,RA
76382,.,.
76383,WE,WE
76384,ENDED,end
76385,UP,UP
76386,BEING,be
76387,SEVERAL,sever
76388,HUNDRED,hundr
76389,FT,FT
76390,HIGH,high
76391,ON,ON
76392,THE,the
76393,ILS,il
76394,.,.
76395,THIS,thi
76396,VFR,vfr
76397,ACFT,acft
76398,SHOULD,should
76399,HAVE,have
76400,BEEN,been
76401,VECTORED,vector
76402,SEVERAL,sever
76403,MI,MI
76404,S,S
76405,OF,OF
76406,THE,the
76407,BOSTON,boston
76408,ARR,arr
76409,CORRIDOR,corridor
76410,AND,and
76411,THE,the
76412,TCA,tca
76413,.,.
76414,CAPT,capt
76415,OF,OF
76416,CPR,cpr
76417,JET,jet
76418,TOOK,took
76419,EVASIVE,evas
76420,ACTION,action
76421,BY,BY
76422,DSNDING,dsnding
76423,AFTER,after
76424,OBSERVING,observ
76425,AN,AN
76426,ACFT,acft
76427,AT,AT
76428,THE,the
76429,SAME,same
76430,ALT,alt
76431,COMING,come
76432,STRAIGHT,straight
76433,AT,AT
76434,THEM,them
76435,.,.
76436,THE,the
76437,CAPT,capt
76438,WAS,wa
76439,FLYING,fli
76440,THIS,thi
76441,LEG,leg
76442,ON,ON
76443,AN,AN
76444,IFR,ifr
76445,FLT,flt
76446,FROM,from
76447,EWR,ewr
76448,TO,TO
76449,BED,bed
76450,.,.
76451,EVERYTHING,everyth
76452,WAS,wa
76453,NORMAL,normal
76454,UNTIL,until
76455,THE,the
76456,ACFT,acft
76457,DEPARTED,depart
76458,DREEM,dreem
76459,INTXN,intxn
76460,.,.
76461,WE,WE
76462,WERE,were
76463,INSTRUCTED,instruct
76464,TO,TO
76465,DSND,dsnd
76466,TO,TO
76467,3000,3000
76468,FT.,ft.
76469,AFTER,after
76470,LEVELING,level
76471,AT,AT
76472,3000,3000
76473,FT,FT
76474,;,;
76475,AN,AN
76476,ACFT,acft
76477,WAS,wa
76478,OBSERVED,observ
76479,AT,AT
76480,OUR,our
76481,ALT,alt
76482,AND,and
76483,12,12
76484,O'CLOCK,o'clock
76485,CLOSING,close
76486,FAST,fast
76487,.,.
76488,A,A
76489,DSCNT,dscnt
76490,WAS,wa
76491,INITIATED,initi
76492,WITH,with
76493,A,A
76494,SLIGHT,slight
76495,R,R
76496,TURN,turn
76497,.,.
76498,THE,the
76499,ACFT,acft
76500,;,;
76501,A,A
76502,PIPER,piper
76503,TOMAHAWK,tomahawk
76504,;,;
76505,PASSED,pass
76506,APPROX,approx
76507,300,300
76508,FT,FT
76509,ABOVE,abov
76510,AND,and
76511,TO,TO
76512,OUR,our
76513,L.,L.
76514,APCH,apch
76515,WAS,wa
76516,ADVISED,advis
76517,OF,OF
76518,OUR,our
76519,DSCNT,dscnt
76520,AND,and
76521,THE,the
76522,REASON,reason
76523,.,.
76524,APCH,apch
76525,ACKNOWLEDGED,acknowledg
76526,AND,and
76527,INSTRUCTED,instruct
76528,US,US
76529,TO,TO
76530,CLB,clb
76531,BACK,back
76532,TO,TO
76533,3000,3000
76534,FT,FT
76535,WHEN,when
76536,WE,WE
76537,WERE,were
76538,CLR,clr
76539,.,.
76540,THE,the
76541,DSCNT,dscnt
76542,WAS,wa
76543,STOPPED,stop
76544,AT,AT
76545,2400,2400
76546,FT,FT
76547,AND,and
76548,WE,WE
76549,CLBED,clbed
76550,BACK,back
76551,TO,TO
76552,3000,3000
76553,FT,FT
76554,.,.
76555,THE,the
76556,OTHER,other
76557,ACFT,acft
76558,WAS,wa
76559,SPOTTED,spot
76560,IN,IN
76561,SUFFICIENT,suffici
76562,TIME,time
76563,TO,TO
76564,MAKE,make
76565,A,A
76566,DSCNT,dscnt
76567,THAT,that
76568,DID,did
76569,NOT,not
76570,ALARM,alarm
76571,THE,the
76572,PAX,pax
76573,IN,IN
76574,BACK,back
76575,.,.
76576,THIS,thi
76577,SHOULD,should
76578,BE,BE
76579,A,A
76580,LESSON,lesson
76581,TO,TO
76582,ALL,all
76583,OF,OF
76584,US,US
76585,THAT,that
76586,;,;
76587,EVEN,even
76588,THOUGH,though
76589,WE,WE
76590,ARE,are
76591,ON,ON
76592,AN,AN
76593,IFR,ifr
76594,FLT,flt
76595,PLAN,plan
76596,IN,IN
76597,POSITIVE,posit
76598,RADAR,radar
76599,CTL,ctl
76600,;,;
76601,WE,WE
76602,STILL,still
76603,NEED,need
76604,TO,TO
76605,LOOK,look
76606,OUTSIDE,outsid
76607,FOR,for
76608,THAT,that
76609,ONE,one
76610,UNRPTED,unrpt
76611,ACFT,acft
76612,THAT,that
76613,COULD,could
76614,BE,BE
76615,IN,IN
76616,CONFLICT,conflict
76617,WITH,with
76618,US,US
76619,.,.
76620,ACR,acr
76621,SF34,sf34
76622,ON,ON
76623,VECTOR,vector
76624,AND,and
76625,GIVEN,given
76626,CLB,clb
76627,BY,BY
76628,DEP,dep
76629,CTLR,ctlr
76630,.,.
76631,SF34,sf34
76632,GIVEN,given
76633,A,A
76634,CLB,clb
76635,AND,and
76636,TURN,turn
76637,BY,BY
76638,DEP,dep
76639,CTLR,ctlr
76640,;,;
76641,AND,and
76642,AT,AT
76643,THE,the
76644,SAME,same
76645,TIME,time
76646,SAW,saw
76647,AN,AN
76648,ACFT,acft
76649,DSNDING,dsnding
76650,AT,AT
76651,HIS,hi
76652,11,11
76653,O'CLOCK,o'clock
76654,POS,po
76655,.,.
76656,SF34,sf34
76657,GOT,got
76658,TCASII,tcasii
76659,TO,TO
76660,DSND,dsnd
76661,AND,and
76662,DID,did
76663,THAT,that
76664,RATHER,rather
76665,THAN,than
76666,CLB,clb
76667,AS,AS
76668,CLRED,clred
76669,.,.
76670,THEN,then
76671,THE,the
76672,TCASII,tcasii
76673,TOLD,told
76674,HIM,him
76675,TO,TO
76676,'CLB,'clb
76677,;,;
76678,CLB,clb
76679,NOW,now
76680,.,.
76681,','
76682,AS,AS
76683,A,A
76684,RESULT,result
76685,LTSS,ltss
76686,OCCURRED,occur
76687,.,.
76688,DEPARTING,depart
76689,BOSTON,boston
76690,LEVEL,level
76691,AT,AT
76692,4000,4000
76693,FT,FT
76694,HDG,hdg
76695,300,300
76696,DEGS,deg
76697,.,.
76698,RECEIVED,receiv
76699,CLRNC,clrnc
76700,TO,TO
76701,CLB,clb
76702,TO,TO
76703,6000,6000
76704,FT,FT
76705,AND,and
76706,TURN,turn
76707,R,R
76708,TO,TO
76709,090,090
76710,DEGS,deg
76711,.,.
76712,AT,AT
76713,SAME,same
76714,TIME,time
76715,TCASII,tcasii
76716,RPTED,rpted
76717,TFC,tfc
76718,AT,AT
76719,11,11
76720,O'CLOCK,o'clock
76721,;,;
76722,3,3
76723,MI,MI
76724,DSNDING,dsnding
76725,THROUGH,through
76726,4500,4500
76727,FT.,ft.
76728,ABOUT,about
76729,3,3
76730,SECONDS,second
76731,LATER,later
76732,TCASII,tcasii
76733,ISSUED,issu
76734,A,A
76735,'DSCNT,'dscnt
76736,.,.
76737,','
76738,WE,WE
76739,KEPT,kept
76740,OUR,our
76741,TURN,turn
76742,TOWARD,toward
76743,090,090
76744,DEGS,deg
76745,AND,and
76746,BEGAN,began
76747,A,A
76748,DSCNT,dscnt
76749,.,.
76750,ABOUT,about
76751,3,3
76752,SECONDS,second
76753,LATER,later
76754,WE,WE
76755,SAW,saw
76756,THE,the
76757,TFC,tfc
76758,AT,AT
76759,ABOUT,about
76760,9,9
76761,O'CLOCK,o'clock
76762,AT,AT
76763,SAME,same
76764,ALT,alt
76765,STILL,still
76766,IN,IN
76767,A,A
76768,DSCNT,dscnt
76769,;,;
76770,AT,AT
76771,SAME,same
76772,TIME,time
76773,WE,WE
76774,WERE,were
76775,ISSUED,issu
76776,'INCREASE,'increas
76777,DSCNT,dscnt
76778,;,;
76779,','
76780,AND,and
76781,ABOUT,about
76782,3-5,3-5
76783,SECONDS,second
76784,AFTER,after
76785,THAT,that
76786,WE,WE
76787,WERE,were
76788,ISSUED,issu
76789,'CLB,'clb
76790,;,;
76791,CLB,clb
76792,NOW,now
76793,.,.
76794,','
76795,1,1
76796,),)
76797,ATC,atc
76798,DID,did
76799,NOT,not
76800,ISSUE,issu
76801,A,A
76802,CLRNC,clrnc
76803,AWAY,away
76804,FROM,from
76805,TFC,tfc
76806,UNTIL,until
76807,TFC,tfc
76808,WAS,wa
76809,ABOUT,about
76810,11,11
76811,O'CLOCK,o'clock
76812,3,3
76813,MI,MI
76814,AND,and
76815,500,500
76816,FT,FT
76817,ABOVE,abov
76818,OUR,our
76819,ALT,alt
76820,.,.
76821,2,2
76822,),)
76823,ATC,atc
76824,DID,did
76825,NOT,not
76826,ISSUE,issu
76827,A,A
76828,TA,TA
76829,AT,AT
76830,ANY,ani
76831,TIME,time
76832,.,.
76833,3,3
76834,),)
76835,ATC,atc
76836,DID,did
76837,NOT,not
76838,ACKNOWLEDGE,acknowledg
76839,ANY,ani
76840,TFC,tfc
76841,CONFLICT,conflict
76842,EXCEPT,except
76843,'CLR,'clr
76844,OF,OF
76845,TFC,tfc
76846,','
76847,AFTER,after
76848,WE,WE
76849,ADVISED,advis
76850,THAT,that
76851,WE,WE
76852,WERE,were
76853,RESPONDING,respond
76854,TO,TO
76855,AN,AN
76856,'RA,'ra
76857,.,.
76858,','
76859,SMA,sma
76860,PERFORMING,perform
76861,TRAINING,train
76862,MANEUVERS,maneuv
76863,HAS,ha
76864,NMAC,nmac
76865,WITH,with
76866,ATR42,atr42
76867,.,.
76868,I,I
76869,WAS,wa
76870,ON,ON
76871,A,A
76872,TRAINING,train
76873,MISSION,mission
76874,TO,TO
76875,BECOME,becom
76876,A,A
76877,FLT,flt
76878,INSTRUCTOR,instructor
76879,WITH,with
76880,MY,MY
76881,CURRENT,current
76882,INSTRUCTOR,instructor
76883,UNDER,under
76884,THE,the
76885,HOOD,hood
76886,.,.
76887,WE,WE
76888,WERE,were
76889,DOING,do
76890,ATTITUDE,attitud
76891,INST,inst
76892,FLT,flt
76893,PROCS,proc
76894,AS,AS
76895,I,I
76896,WAS,wa
76897,WATCHING,watch
76898,FOR,for
76899,TFC,tfc
76900,.,.
76901,IN,IN
76902,THE,the
76903,MANEUVER,maneuv
76904,IN,IN
76905,QUESTION,question
76906,;,;
76907,WE,WE
76908,HAD,had
76909,DONE,done
76910,SEVERAL,sever
76911,CLRING,clring
76912,TURNS,turn
76913,PRIOR,prior
76914,AND,and
76915,I,I
76916,HAD,had
76917,NOTICED,notic
76918,NOTHING,noth
76919,UNUSUAL,unusu
76920,.,.
76921,I,I
76922,LOOKED,look
76923,OVER,over
76924,MY,MY
76925,INSTRUCTOR,instructor
76926,'S,'S
76927,SHOULDER,shoulder
76928,FOR,for
76929,TFC,tfc
76930,AND,and
76931,SAW,saw
76932,NOTHING,noth
76933,SO,SO
76934,WE,WE
76935,STARTED,start
76936,A,A
76937,20,20
76938,DEG,deg
76939,BANKED,bank
76940,;,;
76941,CLBING,clbing
76942,TURN,turn
76943,TO,TO
76944,THE,the
76945,L,L
76946,(,(
76947,360,360
76948,DEGS,deg
76949,),)
76950,.,.
76951,AS,AS
76952,WE,WE
76953,REACHED,reach
76954,THE,the
76955,180,180
76956,DEG,deg
76957,POINT,point
76958,;,;
76959,THE,the
76960,SUN,sun
76961,WAS,wa
76962,STRAIGHT,straight
76963,OFF,off
76964,THE,the
76965,NOSE,nose
76966,AND,and
76967,I,I
76968,COULD,could
76969,N'T,n't
76970,SEE,see
76971,OUTSIDE,outsid
76972,;,;
76973,BUT,but
76974,STRAINED,strain
76975,TO,TO
76976,SEE,see
76977,IF,IF
76978,ANY,ani
76979,TFC,tfc
76980,WAS,wa
76981,OUT,out
76982,THERE,there
76983,;,;
76984,AT,AT
76985,THE,the
76986,SAME,same
76987,TIME,time
76988,TRYING,tri
76989,TO,TO
76990,CORRECT,correct
76991,THE,the
76992,SIMULATED,simul
76993,ERRORS,error
76994,THAT,that
76995,MY,MY
76996,INSTRUCTOR,instructor
76997,WAS,wa
76998,GIVING,give
76999,ME,ME
77000,.,.
77001,WE,WE
77002,WERE,were
77003,PASSING,pass
77004,THROUGH,through
77005,4000,4000
77006,FT,FT
77007,NOW,now
77008,AND,and
77009,JUST,just
77010,BEFORE,befor
77011,WE,WE
77012,LEVELED,level
77013,OFF,off
77014,;,;
77015,I,I
77016,SAW,saw
77017,THE,the
77018,ATR-42,atr-42
77019,PASS,pass
77020,ABOVE,abov
77021,THE,the
77022,ACFT,acft
77023,AT,AT
77024,NO,NO
77025,LESS,less
77026,THAN,than
77027,400,400
77028,FT,FT
77029,VERTICALLY,vertic
77030,.,.
77031,I,I
77032,ALERTED,alert
77033,MY,MY
77034,FLT,flt
77035,INSTRUCTOR,instructor
77036,AND,and
77037,SHAKEN,shaken
77038,;,;
77039,I,I
77040,DECIDED,decid
77041,TO,TO
77042,END,end
77043,THE,the
77044,LESSON,lesson
77045,AND,and
77046,RETURN,return
77047,TO,TO
77048,THE,the
77049,ARPT,arpt
77050,.,.
77051,LATER,later
77052,I,I
77053,REALIZED,realiz
77054,THAT,that
77055,THE,the
77056,ATR,atr
77057,'S,'S
77058,FLT,flt
77059,PATH,path
77060,WAS,wa
77061,COMING,come
77062,FROM,from
77063,THE,the
77064,SAME,same
77065,DIRECTION,direct
